product_id,price,date
100730,46.2,01/01/2026
104293,23.9,01/01/2026
110108,31.2,01/01/2026
127160,54.9,01/01/2026
128576,24.9,01/01/2026
129026,33.0,01/01/2026
130982,53.9,01/01/2026
135089,36.9,01/01/2026
138357,75.9,01/01/2026
147246,79.7,01/01/2026
148983,235.3,01/01/2026
150394,89.2,01/01/2026
1580,129.89,01/01/2026
15844,84.95,01/01/2026
16088,9.99,01/01/2026
16145,129.95,01/01/2026
16556,6.35,01/01/2026
169326,127.3,01/01/2026
1700,28.5,01/01/2026
182932,94.5,01/01/2026
22168,9.29,01/01/2026
22401,225.95,01/01/2026
22934,121.89,01/01/2026
26301,7.89,01/01/2026
63024,44.9,01/01/2026
63121,49.5,01/01/2026
80816,82.8,01/01/2026
100730,55.9,01/02/2026
104293,23.9,01/02/2026
110108,31.2,01/02/2026
127160,46.5,01/02/2026
128576,24.9,01/02/2026
129026,52.9,01/02/2026
130982,53.9,01/02/2026
135089,43.5,01/02/2026
138357,75.9,01/02/2026
147246,79.7,01/02/2026
148983,250.9,01/02/2026
150394,89.2,01/02/2026
1580,149.89,01/02/2026
15844,119.8,01/02/2026
16088,14.29,01/02/2026
16145,179.89,01/02/2026
16556,8.45,01/02/2026
169326,127.3,01/02/2026
1700,25.9,01/02/2026
182932,84.9,01/02/2026
22168,10.89,01/02/2026
22401,209.95,01/02/2026
22934,113.89,01/02/2026
26301,8.49,01/02/2026
63024,44.9,01/02/2026
63121,39.9,01/02/2026
80816,82.8,01/02/2026
100730,55.9,18/02/2026
104293,23.9,18/02/2026
110108,31.2,18/02/2026
127160,46.5,18/02/2026
128576,24.9,18/02/2026
129026,58.9,18/02/2026
130982,53.9,18/02/2026
135089,43.5,18/02/2026
138357,75.9,18/02/2026
147246,79.7,18/02/2026
148983,207.3,18/02/2026
150394,59.9,18/02/2026
1580,149.89,18/02/2026
15844,119.9,18/02/2026
16088,14.29,18/02/2026
16145,199.89,18/02/2026
16556,8.45,18/02/2026
169326,108.8,18/02/2026
1700,25.9,18/02/2026
182932,88.3,18/02/2026
22168,10.89,18/02/2026
22401,224.95,18/02/2026
22934,111.89,18/02/2026
26301,8.49,18/02/2026
63024,47.9,18/02/2026
63121,46.9,18/02/2026
80816,82.8,18/02/2026
